word,embedding
allegations,"[-0.0384836308658123, 0.022154781967401505, -0.010974884033203125, 0.02484891191124916, -0.03206536918878555]"
third,"[0.0469215027987957, 0.02492847666144371, 0.02431527152657509, 0.01956646516919136, -0.04749102517962456]"
tennessee,"[-0.0011192187666893005, -0.03155592828989029, 0.03973742946982384, -0.02992863766849041, 0.030439186841249466]"
service,"[-0.006940782070159912, -0.03499551862478256, 0.0006328709423542023, -0.016136061400175095, -0.031156575307250023]"
nazi,"[0.026696253567934036, 0.004577971994876862, -0.026734625920653343, -0.046481408178806305, 0.02452060952782631]"
israeli,"[-0.04010455682873726, -0.028655707836151123, 0.04414229467511177, -0.03896738216280937, 0.035321999341249466]"
inquest,"[0.02522747591137886, 0.029898229986429214, -0.048390090465545654, 0.032518018037080765, 0.0008014217019081116]"
crash,"[-0.004342664033174515, -0.015460897237062454, 0.010424233973026276, -0.01688910648226738, 0.03437452390789986]"
county,"[0.014676902443170547, -0.025497794151306152, 0.010204397141933441, 0.009253166615962982, -0.04717489704489708]"
wrote,"[-0.03857564926147461, -0.046713151037693024, 0.008882798254489899, -0.0014399513602256775, 0.04451228305697441]"
without,"[0.028329122811555862, -0.04577368497848511, 0.0014078393578529358, 0.009841620922088623, -0.044148292392492294]"
staff,"[-0.03572385385632515, 0.013661030679941177, -0.04870812967419624, 0.008021272718906403, -0.03483898565173149]"
near,"[-0.03563122823834419, 0.0018211714923381805, 0.011116646230220795, 0.013777706772089005, -0.011592328548431396]"
minute,"[0.04188530519604683, 0.016271796077489853, -0.03226605802774429, 0.008125174790620804, 0.014721345156431198]"
body,"[0.03609435632824898, -0.03519139438867569, 0.03470766916871071, 0.017277631908655167, 0.023118820041418076]"
wanted,"[-0.011121712625026703, 0.005004845559597015, 0.044108543545007706, 0.02216818556189537, 0.027514386922121048]"
sri,"[0.03597063943743706, -0.004215262830257416, 0.04198375716805458, -0.038161955773830414, 0.039343658834695816]"
post,"[-0.016126345843076706, 0.01975131407380104, -0.026296986266970634, -0.025570476427674294, -0.043929386883974075]"
possible,"[0.010693669319152832, -0.03597738593816757, -0.03436645120382309, 0.03367486223578453, -0.03779491037130356]"
number,"[0.025257978588342667, 0.02043529972434044, 0.042360689491033554, 0.0179804228246212, -0.04192008823156357]"
murdoch,"[-0.03455936908721924, 0.010163046419620514, 0.0192282535135746, 0.008645035326480865, 0.006400715559720993]"
medical,"[-0.007039476186037064, -0.012975312769412994, 0.012583915144205093, 0.031838562339544296, 0.021709468215703964]"
guilty,"[0.04349491372704506, -0.044453609734773636, 0.016537513583898544, 0.022930894047021866, 0.04244503751397133]"
future,"[-0.03663463518023491, 0.016535703092813492, -0.02503892220556736, 0.03422858938574791, -0.04958289861679077]"
find,"[-0.000958956778049469, 0.04039052501320839, 0.03998497501015663, 0.02236868068575859, 0.02261192724108696]"
read,"[0.023323919624090195, 0.018163148313760757, 0.03260383382439613, 0.03663254156708717, 0.03273523971438408]"
marriage,"[0.03260422125458717, 0.017542805522680283, -0.04159138351678848, -0.03998545557260513, 0.021094057708978653]"
hours,"[-0.024267006665468216, -0.025139952078461647, 0.018297802656888962, -0.03631036356091499, 0.02825183793902397]"
full,"[0.006428025662899017, 0.03116488829255104, 0.014827374368906021, -0.004798125475645065, -0.009342443197965622]"
conference,"[-0.01178823783993721, -0.04195159673690796, 0.0015696883201599121, -0.002046894282102585, 0.003225564956665039]"
beach,"[0.04143160954117775, 0.03349350765347481, 0.0383077971637249, -0.043937455862760544, 0.045540738850831985]"
ac,"[-0.010119937360286713, -0.029874300584197044, 0.017167571932077408, -0.04271162673830986, -0.0483902208507061]"
tried,"[0.029910791665315628, -0.03664200380444527, 0.03364444151520729, -0.011602174490690231, 0.04958624765276909]"
formula,"[-0.04535026475787163, 0.03773203864693642, 0.003203056752681732, 0.014938082545995712, -0.04367798566818237]"
countries,"[-0.017643608152866364, 0.041375014930963516, 0.022967759519815445, -0.005518294870853424, 0.04833080992102623]"
bill,"[0.029822733253240585, -0.03691158443689346, 0.03791261091828346, -0.04898691177368164, 0.04268528148531914]"
associated,"[0.0442059151828289, -0.00831683725118637, 0.028004299849271774, -0.0493350625038147, 0.00912860780954361]"
striker,"[0.04499230161309242, -0.015379011631011963, 0.016255203634500504, -0.03938242048025131, -0.030800139531493187]"
power,"[0.04291662201285362, 0.036906253546476364, -0.016118347644805908, -0.03916122764348984, -0.03838841989636421]"
movie,"[-0.03389322757720947, -0.03652369976043701, 0.028147172182798386, -0.016256369650363922, -0.020414208993315697]"
lost,"[-0.008287988603115082, -0.010496307164430618, 0.010197937488555908, 0.042930591851472855, 0.021549809724092484]"
fired,"[-0.023663653060793877, 0.047610845416784286, -0.016001977026462555, 0.02706659957766533, -0.011173225939273834]"
close,"[0.04432809725403786, -0.04668538644909859, 0.040958646684885025, 0.030281614512205124, -0.03617379814386368]"
white,"[0.03439446911215782, -0.0143287293612957, -0.0038895122706890106, -0.038138497620821, 0.014954235404729843]"
social,"[0.022204425185918808, 0.019795987755060196, -0.0390448197722435, 0.011853624135255814, -0.026632821187376976]"
remains,"[-0.010546743869781494, -0.01754535362124443, 0.0498788096010685, 0.022862661629915237, 0.017041508108377457]"
person,"[-0.0394282229244709, 0.030864987522363663, 0.009845256805419922, 0.002292849123477936, 0.002553652971982956]"
looking,"[0.013414766639471054, 0.043069351464509964, 0.00830763578414917, -0.011675477027893066, -0.04429180547595024]"
key,"[0.005069077014923096, -0.028437567874789238, 0.004138719290494919, 0.02570006623864174, -0.013873659074306488]"
israel,"[0.04717088118195534, 0.008808396756649017, -0.04830297455191612, 0.006051372736692429, -0.030273068696260452]"
helped,"[0.023021671921014786, 0.04274607077240944, -0.028682375326752663, -0.011605512350797653, -0.0013016238808631897]"
france,"[-0.02430584467947483, 0.025498513132333755, -0.015837274491786957, -0.0028516873717308044, 0.019835975021123886]"
wife,"[0.038600314408540726, -0.04503590986132622, -0.019774163141846657, 0.03728196397423744, -0.042613591998815536]"
nothing,"[-0.04953570291399956, 0.02331104502081871, -0.017390288412570953, -0.02034810744225979, -0.0445711612701416]"
liverpool,"[-0.01880824565887451, 0.02307668700814247, -0.007528495043516159, -0.02250821702182293, -0.023161625489592552]"
happy,"[0.028438199311494827, 0.024998392909765244, -0.014089178293943405, 0.04794516786932945, -0.0009063705801963806]"
grand,"[0.014782678335905075, 0.03400775417685509, -0.005675554275512695, 0.0193808414041996, -0.04297591373324394]"
award,"[0.04722653701901436, 0.021214153617620468, 0.047720108181238174, 0.027060817927122116, 0.037664953619241714]"
across,"[0.029797766357660294, -0.03523753955960274, 0.013667497783899307, 0.01904216781258583, -0.02780255116522312]"
22,"[-0.018995344638824463, 0.002054773271083832, -0.029690897092223167, 0.009120382368564606, 0.0119757279753685]"
went,"[-0.026106417179107666, 0.014265265315771103, 0.019225824624300003, 0.027561191469430923, -0.0025395043194293976]"
peace,"[-0.015214525163173676, -0.035105906426906586, -0.015203844755887985, -0.034174516797065735, 0.03438476100564003]"
pakistan,"[-0.04553593322634697, -0.005759097635746002, 0.00512375682592392, -0.04562685638666153, 0.032875802367925644]"
morning,"[-0.025464320555329323, -0.035953618586063385, -0.011006724089384079, -0.035531722009181976, -0.04071049764752388]"
letter,"[-0.016795717179775238, 0.001711130142211914, -0.00043006986379623413, -0.029170824214816093, -0.04182926565408707]"
guard,"[0.02322458103299141, -0.046035993844270706, -0.012597538530826569, 0.035736773163080215, 0.0037354938685894012]"
claimed,"[-0.017448924481868744, -0.04396031051874161, 0.03448336198925972, 0.03422373905777931, 0.04034001752734184]"
christian,"[-0.005831144750118256, 0.0011808760464191437, 0.007078777998685837, 0.03788839653134346, 0.03904120996594429]"
care,"[-0.025744689628481865, -0.006190966814756393, -0.013718806207180023, 0.008887328207492828, -0.04998037964105606]"
al,"[-0.036471329629421234, 0.0034312978386878967, -0.03258838504552841, -0.046685364097356796, 0.04819777235388756]"
step,"[-0.04314802959561348, -0.03469764068722725, -0.013544715940952301, 0.010285414755344391, -0.01682382822036743]"
obamas,"[-0.026389777660369873, -0.019285356625914574, 0.028615202754735947, -0.03678863123059273, 0.0005053393542766571]"
next,"[-0.04881338030099869, 0.03394630178809166, 0.016231361776590347, -0.01518239825963974, 0.04214784875512123]"
moment,"[-0.025499463081359863, 0.02318863943219185, 0.049571286886930466, -0.01858915016055107, 0.03472162410616875]"
manager,"[0.03408542647957802, -0.01851482316851616, 0.00827573612332344, -0.002254389226436615, -0.007458817213773727]"
ii,"[-0.04042332246899605, 0.026073921471834183, -0.009067069739103317, -0.02370288409292698, -0.0032935254275798798]"
gay,"[0.04378335550427437, 0.014380577951669693, -0.04986821487545967, -0.012526143342256546, -0.009024083614349365]"
especially,"[0.009565353393554688, -0.02437889575958252, -0.020457660779356956, 0.026594940572977066, 0.006692469120025635]"
british,"[-0.03119879961013794, -0.03699678182601929, -0.038035787642002106, 0.02246769890189171, -0.0200185663998127]"
12,"[-0.04648473486304283, -0.043495144695043564, 0.01756223663687706, 0.026429686695337296, -0.0371382012963295]"
sowell,"[0.0489896796643734, -0.004285454750061035, -0.0387340784072876, -0.031225597485899925, -0.043554868549108505]"
short,"[-0.0200249794870615, 0.02823897823691368, -0.018900131806731224, -0.02720339410007, -0.022405361756682396]"
record,"[0.014565635472536087, 0.00883500650525093, 0.04763468727469444, -0.022593533620238304, 0.011546492576599121]"
medina,"[-0.029861902818083763, -0.016501199454069138, 0.018054332584142685, 0.008427836000919342, 0.03217807784676552]"
farc,"[-0.0028950683772563934, 0.021501589566469193, -0.012432169169187546, 0.02327488735318184, 0.012910965830087662]"
evidence,"[0.01261841133236885, 0.00490967184305191, 0.00641486793756485, 0.04533351585268974, -0.0018291100859642029]"
control,"[-0.011166274547576904, 0.027793671935796738, -0.022761642932891846, 0.012169741094112396, -0.03421767055988312]"
cocaine,"[0.00873023271560669, 0.00893319770693779, 0.015268411487340927, 0.03566757217049599, -0.016352273523807526]"
caracas,"[-0.03251701593399048, -0.04421048238873482, -0.008703015744686127, 0.01114046573638916, -0.024155104532837868]"
alzaidi,"[-0.009162329137325287, 0.01295340433716774, 0.03708383068442345, 0.034452442079782486, -0.0041537173092365265]"
thought,"[0.004671931266784668, 0.010540582239627838, 0.03530294820666313, -0.022340966388583183, 0.01553705707192421]"
teams,"[-0.04672596603631973, -0.008229352533817291, 0.047090258449316025, -0.018205106258392334, 0.036438826471567154]"
park,"[0.04764318838715553, -0.03154081106185913, 0.049536172300577164, -0.026572084054350853, -0.025857342407107353]"
met,"[0.0009377487003803253, -0.037037838250398636, -0.03335251659154892, 0.0491909421980381, 0.048669781535863876]"
mayor,"[0.04925758019089699, 0.015726614743471146, -0.023503804579377174, 0.016559187322854996, 0.04382770135998726]"
kilometers,"[0.014745477586984634, -0.0038056373596191406, 0.03537348285317421, 0.04636145755648613, -0.027361130341887474]"
journalist,"[-0.020375479012727737, -0.043926943093538284, 0.04686133936047554, 0.0029175765812397003, -0.006390761584043503]"
anyone,"[0.04785795137286186, 0.026144210249185562, 0.04582388326525688, 0.03253431245684624, 0.0030750632286071777]"
although,"[-0.0038246624171733856, -0.04240919277071953, -0.009407483041286469, 0.04243088141083717, -0.04460719972848892]"
affiliate,"[-0.04989144951105118, -0.007934797555208206, 0.028881464153528214, -0.03996584564447403, -0.03200565651059151]"
worked,"[-0.020192040130496025, -0.01895698346197605, 0.007483042776584625, -0.0344964861869812, -0.01810162141919136]"
wiles,"[-0.04332183673977852, 0.017757121473550797, 0.010892927646636963, -0.048279572278261185, 0.031304072588682175]"
though,"[-0.020289136096835136, -0.034626733511686325, -0.04508521780371666, -0.02676720730960369, -0.010002613067626953]"
sent,"[0.005265593528747559, 0.024423886090517044, 0.008619345724582672, -0.017543721944093704, -0.005586076527833939]"
saw,"[0.034577224403619766, 0.03410981968045235, 0.02353299781680107, 0.03272007778286934, 0.03581864759325981]"
personal,"[-0.020952200517058372, 0.02421051636338234, 0.015269111841917038, 0.029970873147249222, -0.010332785546779633]"
marines,"[-0.00944293662905693, 0.028531882911920547, 0.007272124290466309, -0.012420296669006348, 0.012826647609472275]"
knowledge,"[-0.024663925170898438, 0.016563598066568375, -0.014979563653469086, 0.03586448356509209, -0.004579305648803711]"
july,"[0.03316326066851616, 0.00877668708562851, -0.026938332244753838, 0.04351458325982094, -0.02572413720190525]"
energy,"[-0.021169448271393776, -0.015024017542600632, 0.026828859001398087, -0.008559297770261765, 0.011433970183134079]"
assistant,"[0.000932205468416214, -0.03373688459396362, -0.03982306644320488, -0.02207012288272381, -0.04960839822888374]"
arrested,"[-0.017267275601625443, -0.03944513946771622, 0.04036838933825493, 0.02230599895119667, 0.034439507871866226]"
verizon,"[0.010489989072084427, 0.04947352781891823, 0.0015838518738746643, -0.033983126282691956, 0.005631912499666214]"
started,"[-0.0029601454734802246, 0.021453510969877243, -0.035555243492126465, 0.038533832877874374, -0.023107493296265602]"
scott,"[-0.006365932524204254, 0.039869274944067, 0.030132759362459183, 0.040549103170633316, 0.014027345925569534]"
manas,"[0.032054249197244644, 0.02595491334795952, -0.02114049158990383, -0.047612130641937256, -0.026774561032652855]"
look,"[-0.046160805970430374, -0.031688906252384186, 0.021549511700868607, 0.012875627726316452, -0.019926000386476517]"
island,"[-0.04580027982592583, -0.034974049776792526, 0.0246179960668087, 0.030950043350458145, -0.01663576439023018]"
friends,"[0.024549130350351334, 0.03123721107840538, 0.03321126475930214, -0.033915795385837555, 0.0023689977824687958]"
council,"[0.027253303676843643, 0.01811401918530464, 0.04716241732239723, -0.031179046258330345, -0.008508086204528809]"
camp,"[0.028354059904813766, 0.0333016999065876, -0.044580794870853424, -0.01010575145483017, -0.02962740696966648]"
assault,"[-0.035998594015836716, -0.01153266429901123, -0.005344845354557037, -0.0015413537621498108, 0.003443073481321335]"
apparently,"[0.035540733486413956, -0.020611261948943138, 0.04132591560482979, -0.024737609550356865, -0.020379532128572464]"
accused,"[0.03200105205178261, -0.004337359219789505, 0.015432488173246384, -0.037236738950014114, 0.031514789909124374]"
working,"[-0.03291957452893257, -0.020976532250642776, -0.007025144994258881, 0.001905776560306549, 0.03683653101325035]"
within,"[-0.04232307896018028, -0.03362651914358139, 0.02366751804947853, 0.009833801537752151, 0.04387778416275978]"
phone,"[0.027164828032255173, 0.006973493844270706, 0.04313676431775093, -0.008703161031007767, -0.010681450366973877]"
aid,"[-0.03122331015765667, 0.01008450984954834, -0.011904798448085785, 0.009031523019075394, 0.00038318708539009094]"
video,"[-0.005458187311887741, -0.008354008197784424, 0.008680809289216995, -0.001164756715297699, -0.02810593880712986]"
tree,"[0.019750822335481644, -0.033014751970767975, 0.03886407986283302, 0.011800277978181839, -0.00379340723156929]"
thousands,"[0.04283597692847252, -0.017181240022182465, -0.022524941712617874, -0.016480088233947754, -0.01824561506509781]"
reason,"[-0.03605766221880913, -0.03524215146899223, -0.04491579532623291, 0.004363309592008591, -0.027117466554045677]"
nation,"[0.030340861529111862, -0.0027283653616905212, -0.041658222675323486, 0.029576528817415237, 0.03438100591301918]"
got,"[0.02026064321398735, -0.004217792302370071, -0.025476086884737015, 0.010366011410951614, 0.03360140696167946]"
forward,"[0.027258899062871933, 0.03536404296755791, -0.036619365215301514, 0.02227846160531044, -0.02791672945022583]"
end,"[0.023550640791654587, -0.012045323848724365, -0.010353602468967438, 0.016813073307275772, 0.04928480461239815]"
dodi,"[0.0025305263698101044, 0.03526509925723076, 0.019968178123235703, 0.0007132887840270996, 0.02534564957022667]"
considered,"[-0.030880356207489967, 0.006753064692020416, -0.03875187784433365, -0.00059518963098526, 0.014568392187356949]"
comes,"[0.009901739656925201, -0.027044355869293213, 0.010198008269071579, -0.03272225707769394, -0.035688698291778564]"
small,"[-0.011817216873168945, 0.01054229587316513, -0.005429364740848541, 0.030213583260774612, 0.021677855402231216]"
share,"[0.022262994199991226, 0.013880576938390732, 0.01299155130982399, 0.0333779938519001, 0.037353310734033585]"
return,"[-0.047695305198431015, -0.009093690663576126, -0.030969787389039993, 0.0021994486451148987, 0.027198854833841324]"
political,"[0.009106062352657318, 0.030626390129327774, 0.03149303421378136, -0.006138980388641357, 0.024076271802186966]"
ministry,"[-0.043274976313114166, 0.04140070453286171, 0.04442398622632027, 0.0329115055501461, -0.02111675776541233]"
joined,"[-0.015308964997529984, -0.010507512837648392, -0.01728804036974907, 0.041093382984399796, -0.008698321878910065]"
european,"[0.008873365819454193, -0.04156967252492905, -0.040374599397182465, -0.01333988830447197, 0.01193862035870552]"
ended,"[-0.014684461057186127, -0.03518442064523697, -0.044216882437467575, 0.04942408576607704, -0.012760747224092484]"
bell,"[-0.025556350126862526, -0.00556492805480957, 0.04983346536755562, 0.004044640809297562, -0.04887352138757706]"
behind,"[0.0034887194633483887, -0.03648433834314346, 0.010693978518247604, -0.028762757778167725, -0.01918189600110054]"
taking,"[-0.0014845840632915497, 0.02425067499279976, -0.044159699231386185, 0.025336112827062607, -0.0004275664687156677]"
questions,"[-0.022687995806336403, -0.017745278775691986, 0.04224488511681557, 0.044243764132261276, 0.03963693603873253]"
pm,"[0.010674845427274704, 0.04968712106347084, -0.028226112946867943, -0.02248433791100979, -0.04403651878237724]"
northern,"[0.03261364623904228, 0.0213058702647686, 0.009641490876674652, 0.03061913326382637, 0.011518143117427826]"
needed,"[-0.02634366787970066, 0.01280856505036354, -0.04695543274283409, 0.02367672696709633, 0.03708038106560707]"
nearly,"[-0.04438011720776558, 0.025917042046785355, -0.037780117243528366, -0.013405155390501022, -0.03873664140701294]"
mexico,"[-0.020549191161990166, 0.04779936000704765, 0.014160577207803726, -0.03699995204806328, -0.006745077669620514]"
hear,"[0.03657182678580284, 0.0001479014754295349, 0.006478466093540192, -0.019205367192626, 0.039263393729925156]"
efforts,"[0.027608100324869156, 0.04589628055691719, 0.026958417147397995, -0.003919683396816254, 0.02835056558251381]"
economic,"[0.0392790324985981, 0.04506862536072731, 0.00022544711828231812, 0.04699042811989784, -0.020390724763274193]"
crime,"[0.026682589203119278, 0.006159115582704544, -0.012787438929080963, -0.02450629509985447, -0.020680570974946022]"
convicted,"[-0.002717267721891403, 0.014276411384344101, 0.015522684901952744, -0.022226572036743164, -0.03518646955490112]"
civilians,"[-0.0020025596022605896, 0.032652441412210464, 0.019302938133478165, -0.01673966646194458, -0.04327742010354996]"
charge,"[-0.01116124540567398, 0.0029611364006996155, 0.03156948462128639, -0.028068507090210915, -0.03358398750424385]"
call,"[-0.03825201839208603, -0.049201201647520065, 0.01589510217308998, -0.0014422424137592316, 0.017359163612127304]"
business,"[0.014144603163003922, -0.036568187177181244, -0.020701194182038307, -0.0382322296500206, -0.045268189162015915]"
break,"[-0.017290733754634857, 0.04049502685666084, 0.017772290855646133, -0.0038507357239723206, -0.03263278305530548]"
border,"[-0.005764089524745941, -0.02443986013531685, 0.04236023500561714, 0.03524477407336235, 0.019332680851221085]"
18,"[0.03771508112549782, 0.03966516628861427, 0.03705425187945366, 0.019913125783205032, 0.04620227590203285]"
victims,"[-0.031328991055488586, -0.036102473735809326, -0.03985881805419922, 0.03163576498627663, -0.019750213250517845]"
suffering,"[-0.03716399520635605, -0.00954420492053032, 0.007578454911708832, 0.009190760552883148, -0.017588626593351364]"
strank,"[-0.04857610538601875, 0.002865113317966461, -0.04751903936266899, 0.03623007610440254, 0.01706549897789955]"
shows,"[-0.019303714856505394, 0.029340926557779312, 0.032018307596445084, -0.037983499467372894, -0.0374218113720417]"
popular,"[0.04278014972805977, -0.030685866251587868, 0.04194638505578041, -0.017492078244686127, 0.0014212839305400848]"
pistols,"[-0.01675386354327202, 0.045000944286584854, 0.015195336192846298, -0.029230142012238503, -0.008606720715761185]"
pentagon,"[0.008164715021848679, 0.036234769970178604, -0.04227718338370323, 0.02716336026787758, -0.03267871215939522]"
helping,"[-0.03583439439535141, 0.03812474384903908, -0.036346256732940674, 0.029593195766210556, 0.02755076065659523]"
failed,"[0.0037237294018268585, 0.034060243517160416, -0.03526657819747925, -0.009072471410036087, -0.012088585644960403]"
expected,"[0.03467315807938576, -0.042284514755010605, 0.04727281257510185, -0.03731207922101021, 0.027727235108613968]"
club,"[-0.008344661444425583, -0.03260613977909088, 0.047670695930719376, 0.049223195761442184, 0.002309907227754593]"
citizenship,"[0.037537481635808945, 0.02393857017159462, 0.037421274930238724, -0.021080268546938896, -0.021994292736053467]"
ahead,"[-0.002728749066591263, -0.034819770604372025, -0.015900064259767532, 0.0294639952480793, 0.005887400358915329]"
turned,"[0.044399846345186234, -0.005216263234615326, 0.03279833868145943, 0.01821121945977211, 0.039917755872011185]"
thing,"[-0.012423146516084671, 0.020527254790067673, -0.03404191881418228, -0.004276406019926071, -0.02701122872531414]"
rivers,"[0.024371709674596786, -0.0025453567504882812, -0.04865342378616333, -0.02676680125296116, -0.03145008161664009]"
getting,"[0.041829753667116165, -0.028892625123262405, 0.011651076376438141, -0.04310321807861328, -0.029886532574892044]"
democratic,"[0.02337583526968956, -0.0022334083914756775, -0.04316293075680733, 0.004435192793607712, -0.017894674092531204]"
baker,"[-0.002100609242916107, 0.0067043788731098175, 0.020112287253141403, 0.024956349283456802, -0.04184015840291977]"
awards,"[-0.049149155616760254, -0.01637951284646988, 0.00019181892275810242, -0.032773151993751526, -0.046026408672332764]"
special,"[-0.03674304485321045, 0.0022919997572898865, 0.03042599931359291, 0.010456729680299759, 0.003979064524173737]"
reporters,"[-0.010896097868680954, 0.02646765485405922, 0.048117745667696, 0.033223096281290054, -0.04081033542752266]"
palestinian,"[0.013653460890054703, 0.03287278488278389, 0.048423681408166885, -0.007727183401584625, -0.015565168112516403]"
guitar,"[0.03489119932055473, -0.017158161848783493, -0.009935211390256882, -0.043035686016082764, 0.007089067250490189]"
families,"[0.019990313798189163, 0.03885458782315254, -0.04559382423758507, -0.01514749601483345, -0.02216520346701145]"
domestic,"[0.037934135645627975, -0.0007117278873920441, 0.0378580205142498, 0.03814229741692543, 0.0011498220264911652]"
colombian,"[0.00663747638463974, -0.030852437019348145, 0.037532877177000046, 0.04328641667962074, -0.048597242683172226]"
chad,"[-0.04052980989217758, 0.04271130636334419, 0.012061882764101028, 0.0451962985098362, -0.018586397171020508]"
certain,"[-0.01447375863790512, -0.0029191263020038605, 0.016640353947877884, -0.02012542448937893, -0.04374706745147705]"
brought,"[0.024339985102415085, 0.028060708194971085, 0.0042768120765686035, 0.03706652298569679, -0.020948290824890137]"
baghdad,"[0.005293451249599457, -0.002659369260072708, 0.026338163763284683, 0.0443691648542881, -0.02534961700439453]"
whose,"[0.039789941161870956, -0.03675186634063721, 0.011638879776000977, 0.00415276363492012, 0.04210713878273964]"
voice,"[0.04420001432299614, -0.02492891624569893, -0.007644712924957275, 0.04726151004433632, 0.01678217574954033]"
together,"[0.010248292237520218, 0.04132356867194176, -0.028471386060118675, -0.019366061314940453, 0.008535005152225494]"
sport,"[0.026517990976572037, -0.007040977478027344, -0.026753652840852737, 0.023737873882055283, 0.004450928419828415]"
rights,"[0.011983383446931839, 0.021484527736902237, -0.01231548935174942, -0.016305148601531982, -0.013221550732851028]"
reach,"[-0.012349892407655716, 0.007027268409729004, 0.004125535488128662, -0.034912288188934326, -0.0337170735001564]"
october,"[0.021845828741788864, -0.02255047671496868, -0.021857036277651787, -0.0037470348179340363, 0.005110751837491989]"
must,"[0.033266786485910416, -0.006675172597169876, 0.04754875972867012, 0.027485478669404984, 0.04881644621491432]"
legal,"[0.0336420051753521, -0.03469836711883545, -0.03339698165655136, -0.02970491722226143, 0.0025605671107769012]"
human,"[0.017278824001550674, -0.015868794173002243, 0.009262420237064362, 0.04304513707756996, 0.005615700036287308]"
hard,"[0.023030709475278854, 0.04318523779511452, 0.02634943649172783, 0.04590027406811714, 0.036091018468141556]"
games,"[-0.03465075418353081, 0.018794845789670944, -0.04633284732699394, 0.005506254732608795, 0.041935648769140244]"
french,"[-0.04921523481607437, -0.03748267889022827, 0.018444154411554337, -0.035855162888765335, -0.039114344865083694]"
finish,"[0.016007009893655777, -0.04578373581171036, 0.04162360355257988, 0.04394345358014107, -0.0028335079550743103]"
deal,"[-0.037929631769657135, 0.007697440683841705, 0.016004692763090134, -0.030928481370210648, -0.025579262524843216]"
conflict,"[0.027069974690675735, 0.034065309911966324, -0.004208303987979889, 0.03302682563662529, -0.022625816985964775]"
chinese,"[-0.010395396500825882, 0.04763976112008095, 0.023661386221647263, -0.041604019701480865, 0.010832808911800385]"
capital,"[0.047721777111291885, 0.018068913370370865, -0.03702570125460625, 0.009789086878299713, 0.02972325310111046]"
bush,"[0.017404209822416306, 0.007304500788450241, -0.006236173212528229, 0.046887900680303574, 0.03712191805243492]"
agent,"[0.02701606974005699, 0.013719964772462845, 0.01733027771115303, -0.04777265712618828, -0.02262249030172825]"
2006,"[-0.0036221854388713837, -0.022641777992248535, -0.03644763305783272, -0.01922891102731228, -0.018493592739105225]"
trial,"[0.001428365707397461, 0.04328959062695503, 0.025267843157052994, -0.012818921357393265, -0.03813861683011055]"
significant,"[0.031243767589330673, -0.0013747699558734894, -0.018468331545591354, -0.015144847333431244, 0.008489895612001419]"
operations,"[0.03358453884720802, -0.04428501054644585, -0.02270570956170559, -0.0032267794013023376, -0.008570302277803421]"
named,"[0.0006403326988220215, -0.02371321991086006, 0.02868504449725151, 0.04445299133658409, 0.02248561754822731]"
level,"[-0.0025249607861042023, 0.022497069090604782, 0.007461141794919968, 0.007410060614347458, 0.0018356069922447205]"
italian,"[-0.0473797582089901, 0.025148753076791763, -0.0008717551827430725, -0.015264250338077545, 0.03275487199425697]"
husband,"[-0.030921077355742455, 0.019536148756742477, 0.011221755295991898, 0.032129619270563126, 0.033164266496896744]"
gibson,"[0.01966332271695137, 0.020369019359350204, 0.0371105782687664, -0.010519541800022125, 0.004625298082828522]"
gender,"[-0.02776719443500042, -0.03865879774093628, -0.029127920046448708, 0.0320681594312191, -0.016714848577976227]"
footage,"[-0.005484499037265778, -0.0035362131893634796, 0.04489954933524132, 0.04079166427254677, -0.011482488363981247]"
everyone,"[-0.003637455403804779, 0.032771576195955276, 0.025965217500925064, 0.012894604355096817, -0.010965835303068161]"
eventually,"[0.045225609093904495, -0.027894794940948486, -0.008613847196102142, 0.03829134628176689, 0.03383549675345421]"
difficult,"[0.03357703611254692, 0.0364893414080143, -0.012993324548006058, 0.029309142380952835, -0.017946921288967133]"
deaths,"[0.00036202743649482727, 0.007567036896944046, 0.008004367351531982, 0.038359928876161575, -0.023496199399232864]"
abc,"[-0.03495483472943306, 0.0005992874503135681, -0.024442363530397415, 0.038594309240579605, 0.007727552205324173]"
14,"[-0.032167814671993256, -0.016389168798923492, -0.03938095644116402, 0.01754281297326088, 0.011004962027072906]"
visa,"[-0.013810776174068451, -0.04260629415512085, -0.005777694284915924, 0.018946338444948196, 0.017660770565271378]"
southern,"[-0.023625029250979424, -0.0013009198009967804, -0.012604378163814545, -0.003974199295043945, 0.035665083676576614]"
region,"[-0.03716828674077988, -0.027062011882662773, 0.03868434205651283, 0.0023088455200195312, -0.01988600566983223]"
real,"[0.03571368381381035, -0.008395873010158539, 0.02539355680346489, -0.002225816249847412, 0.02839243784546852]"
judge,"[-0.016927875578403473, 0.02569812908768654, -0.011161662638187408, -0.0315607413649559, -0.0243179090321064]"
india,"[0.020097915083169937, 0.0278082974255085, 0.02473853901028633, 0.03936643525958061, 0.032236818224191666]"
feel,"[0.027879130095243454, 0.024984542280435562, 0.024613749235868454, 0.010780762881040573, -0.010634325444698334]"
attempted,"[0.02521214261651039, -0.03568977117538452, -0.04251648113131523, 0.01277649775147438, -0.024503422901034355]"
actually,"[-0.0419667586684227, -0.03652243688702583, 0.01640402153134346, 0.02053028717637062, 0.008456695824861526]"
3,"[0.03319275751709938, 0.02280120924115181, -0.0413874015212059, 0.019280042499303818, -0.006005130708217621]"
